epoch	time	lr	loss	acc	fscore_macro	multiclass_jaccard_index	val_loss	val_acc	val_fscore_macro	val_multiclass_jaccard_index
1	2.023624342000403	0.0005	0.6656639590549893	7.727753754539377	0.04916337504982948	0.02792390063405037	0.6564633406343914	9.09840188707624	0.0342753641307354	0.020664015784859657
2	1.859008993000316	0.0005	0.646744772570777	10.060018946933463	0.06790810078382492	0.04023563489317894	0.6521171558470953	9.316111837114606	0.041958533227443695	0.02395492047071457
3	2.115155153998785	0.0005	0.689430694463345	22.159683255838004	0.10746078193187714	0.06455846130847931	0.6342509743713197	27.01481210617792	0.08640223741531372	0.05515294522047043
4	2.050235448999956	0.0005	0.6237586215801691	37.70290600015431	0.12510967254638672	0.07864801585674286	0.6324856834752219	30.814913068498885	0.07816038280725479	0.04769183322787285
5	2.130363150999983	0.0005	0.6100379783295382	48.629807956140894	0.14545245468616486	0.09350850433111191	0.6422827243804932	24.827511015392485	0.07230355590581894	0.04260130971670151
6	1.908802777001256	0.0005	0.5735926473131873	57.75247438017622	0.17535217106342316	0.11879555881023407	0.6202612533455804	45.955809093656995	0.0829106792807579	0.055518679320812225
7	2.0173670619988116	0.0005	0.5759824118203862	59.37901581218052	0.15390872955322266	0.1032307967543602	0.621817029657818	39.47931925455729	0.06576436758041382	0.04239766299724579
8	1.8880274659986753	0.0005	0.5900205648131116	60.17506809404413	0.14834481477737427	0.09890925884246826	0.6133650314240229	52.90724418276832	0.08739284425973892	0.058545880019664764
9	1.9550299359998462	0.0005	0.5724634718735777	61.71452742443594	0.16824668645858765	0.11239407956600189	0.5857343006701696	63.5709475562686	0.12591686844825745	0.08617393672466278
10	2.03440237399991	0.0005	0.5586839665600737	62.89841377416775	0.18091981112957	0.12053224444389343	0.5962928973493122	60.9922122047061	0.10137289762496948	0.06846708059310913
11	1.8882547189987235	0.0005	0.5438252967569523	65.49045274094941	0.19629645347595215	0.13295511901378632	0.5861677115871793	62.596990676153276	0.12058643996715546	0.0838223397731781
12	2.0851829450002697	0.0005	0.5283493900599748	68.03993576004527	0.21319983899593353	0.14863789081573486	0.6226815481980642	56.94270288376581	0.07445743680000305	0.051103003323078156
13	1.8955667209993408	0.0005	0.5482288466805166	67.7456422460539	0.20954683423042297	0.14439396560192108	0.5603936499073392	66.44701276506696	0.16450445353984833	0.11258827149868011
14	1.9182780789997196	0.0005	0.5087993611921543	68.28620818955962	0.2256464958190918	0.15757080912590027	0.5691987914698464	63.83885737827846	0.13884440064430237	0.09769243746995926
15	1.883527463000064	0.0005	0.529752480833396	69.93106615649486	0.232429638504982	0.16025055944919586	0.6215082974660964	46.48556173415411	0.06690708547830582	0.04541117697954178
16	1.9792670710012317	0.0005	0.5183412917732131	69.2867459034	0.2311217188835144	0.1572543978691101	0.5632118667875018	68.34727405366444	0.1509256660938263	0.10364021360874176
17	1.8390431739990163	0.0005	0.5053083480111923	70.4252963872621	0.24166449904441833	0.1655721664428711	0.5656250956512633	66.01951708112445	0.15625910460948944	0.11028532683849335
18	1.8446140319992992	0.0005	0.5208815961014976	71.82290563385281	0.25414106249809265	0.1760975867509842	0.5995373952956426	66.66102200462704	0.10035182535648346	0.07146687805652618
19	1.8710146180001175	0.0005	0.5115626070991114	71.45928862257598	0.260555624961853	0.17991012334823608	0.5813954657032376	69.48023768833706	0.13647423684597015	0.09509386867284775
20	1.8364433090009697	0.0005	0.4947487401502422	72.58124995019386	0.27733132243156433	0.19314149022102356	0.5798860390981039	61.29153823852539	0.11827883124351501	0.08227786421775818
21	1.8550108290000935	0.0005	0.4912779190154741	72.64897619864354	0.2848210334777832	0.1988547146320343	0.5745808226721627	62.62166559128534	0.126556858420372	0.08537101745605469
